case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete
2re,1,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.011856666666666668,0.012216666666666676,0.0016114434523122414,0.013366666666666674,1.0941336971350613,0.4433766666666667,0.45161666666666667,0.4433766666666667,0.45161666666666667
2re,1,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01566666666666667,0.015116666666666683,0.0010602672619045986,0.01748333333333334,1.156560088202866,0.061770000000000005,0.06768333333333332,0.061770000000000005,0.06768333333333332
2re,1,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.021273333333333328,0.020299999999999985,0.004867688248942085,0.02641666666666665,1.301313628899836,0.05774666666666667,0.06203333333333334,0.05774666666666667,0.06203333333333334
2re,1,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.000000000000372e-5,1.6666666666672234e-5,7.453559925003444e-6,3.333333333334447e-5,2,0.03175333333333332,0.03453333333333332,0.03175333333333332,0.03453333333333332
2re,1,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.017556666666666654,0.017549999999999986,2.0969554650068393e-4,0.01776666666666665,1.0123456790123455,0.07528333333333334,0.07781666666666667,0.07528333333333334,0.07781666666666667
2re,1,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.22486666666666663,0.08523333333333333,0.3017820435439384,0.7609999999999999,8.92843175596402,0.26292,0.7945666666666666,0.26292,0.7945666666666666
2re,2,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01041333333333333,0.01046666666666667,5.345558904361672e-4,0.010916666666666656,1.0429936305732472,0.4663566666666667,0.47925000000000006,0.4663566666666667,0.47925000000000006
2re,2,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.016836666666666666,0.016450000000000003,8.763402434113339e-4,0.018400000000000017,1.1185410334346513,0.07815333333333334,0.07951666666666668,0.07815333333333334,0.07951666666666668
2re,2,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01950333333333333,0.015399999999999992,0.0067903669513019235,0.028250000000000004,1.8344155844155856,0.06094000000000001,0.07138333333333334,0.06094000000000001,0.07138333333333334
2re,2,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.047136666666666674,0.04761666666666668,0.0012380203731944164,0.04843333333333334,1.017150857542877,0.08679999999999999,0.0882,0.08679999999999999,0.0882
2re,2,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.0000000000007058e-5,3.333333333334447e-5,7.453559924991858e-6,3.333333333334447e-5,1,0.03932,0.03985000000000002,0.03932,0.03985000000000002
2re,2,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01644,0.016133333333333333,9.902721287044771e-4,0.017666666666666674,1.09504132231405,0.07787333333333334,0.08055,0.07787333333333334,0.08055
2re,2,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.7772966666666667,0.13678333333333337,1.1955467873529668,2.8697166666666667,20.9800170586085,0.8245499999999999,2.9151666666666665,0.8245499999999999,2.9151666666666665
2re,3,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01453,0.015150000000000012,0.0023655337664045283,0.01731666666666666,1.1430143014301417,0.4644333333333333,0.4688333333333334,0.4644333333333333,0.4688333333333334
2re,3,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.016119999999999995,0.016549999999999974,7.54836258918296e-4,0.01681666666666667,1.0161127895266886,0.07161000000000001,0.072,0.07161000000000001,0.072
2re,3,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.024626666666666668,0.023116666666666643,0.004581554200147475,0.032666666666666684,1.413121845710168,0.06898666666666667,0.07540000000000001,0.06898666666666667,0.07540000000000001
2re,3,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.014233333333333344,0.01466666666666668,8.983781683307557e-4,0.015183333333333326,1.0352272727272713,0.05915,0.06035000000000001,0.05915,0.06035000000000001
2re,3,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.0000000000001136e-5,3.3333333333314856e-5,1.3944333775565504e-5,5.000000000000189e-5,1.5000000000008882,0.03945,0.03964999999999999,0.03945,0.03964999999999999
2re,3,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.03678333333333334,0.03755,0.0019506409203131094,0.037800000000000014,1.0066577896138487,0.09831000000000001,0.10015000000000002,0.09831000000000001,0.10015000000000002
2re,3,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.97605,0.41569999999999996,5.239668481905871,11.508233333333333,27.68398684949082,4.021986666666667,11.560733333333333,4.021986666666667,11.560733333333333
2re,4,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.02174,0.018116666666666663,0.005257727117723437,0.02783333333333333,1.5363385464581418,0.47548666666666667,0.49045000000000005,0.47548666666666667,0.49045000000000005
2re,4,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.01795,0.018216666666666666,7.041543391425974e-4,0.018400000000000017,1.010064043915829,0.07741,0.07985,0.07741,0.07985
2re,4,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.029250000000000005,0.03206666666666669,0.0047756907586465605,0.03333333333333333,1.039501039501039,0.07440999999999999,0.07801666666666668,0.07440999999999999,0.07801666666666668
2re,4,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.013633333333333345,0.013583333333333326,2.2546248764114524e-4,0.014016666666666684,1.0319018404907994,0.05924666666666667,0.05985000000000002,0.05924666666666667,0.05985000000000002
2re,4,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3.3333333333338546e-5,3.3333333333314856e-5,2.041241452319997e-5,6.666666666668894e-5,2.000000000001777,0.040753333333333336,0.04109999999999999,0.040753333333333336,0.04109999999999999
